iteration,exploitability
10,4.2063247603e-01
20,2.3978173983e-01
30,1.0139134167e-01
40,9.1720907430e-02
50,1.9404690030e-02
60,3.9556498154e-02
70,1.2438251048e-02
80,9.1783089007e-04
90,-4.6186756794e-02
100,-2.4395249313e-02
110,-6.3134591525e-02
120,-2.1784291462e-02
130,-5.0617459966e-02
140,-3.1885218508e-02
150,-1.3074980389e-02
160,-4.6529556065e-03
170,-6.2492752836e-02
180,1.7620858640e-02
190,-3.6430991533e-02
200,-8.9001492844e-02
210,-3.4803069861e-02
220,-5.0440287778e-03
230,-8.2249812694e-02
240,-3.2034780499e-02
250,-3.2986035348e-02
260,-5.0957172783e-04
270,-5.2808535453e-04
280,-8.5245087049e-02
290,-3.3378756520e-02
300,-3.3716032942e-02
310,-4.1668979906e-02
320,-9.3887525980e-03
330,-3.5532164169e-02
340,-4.0264024189e-02
350,-9.7503301029e-02
360,-8.6089785403e-02
370,-3.7063572625e-02
380,-3.4103879850e-03
390,-3.5333586775e-02
400,-4.1555117022e-02
410,-4.6055036322e-02
420,-4.8242995877e-02
430,-4.0485105558e-02
440,-4.0341362681e-02
450,-4.1071883657e-02
460,-8.1223325262e-03
470,-9.2609070005e-02
480,-4.8283506138e-02
490,-4.9067116353e-02
500,-4.8957406184e-02
