iteration,exploitability
2,5.7665953783e-01
4,4.6762292599e-01
6,4.0828913984e-01
8,3.2787115038e-01
10,2.6772168474e-01
12,2.3082536080e-01
14,1.7598548265e-01
16,1.3794370945e-01
18,1.2679305987e-01
20,8.8933160278e-02
22,8.3723409719e-02
24,7.9224531384e-02
26,7.4885767881e-02
28,5.1620128890e-02
30,4.5860022757e-02
32,4.8276521696e-02
34,4.3203689757e-02
36,4.0174508222e-02
38,3.6444874634e-02
40,-1.7787864177e-03
42,-4.7684341828e-03
44,-6.9811747287e-03
46,3.7154684984e-02
48,3.9343875526e-02
50,4.0740646575e-02
52,3.9618257179e-02
54,-8.9838531392e-03
56,-7.3034874217e-03
58,-5.7127869313e-03
60,-5.6959911460e-03
62,-3.1345572107e-03
64,-2.3207935527e-02
66,-2.2569540197e-02
68,-2.2322665626e-02
70,-2.1480830364e-02
72,-2.7790024382e-02
74,-2.7051267285e-02
76,-2.6554563514e-02
78,-2.4964617155e-02
80,-2.2779660592e-02
82,-2.1497795130e-02
84,-2.4570294403e-02
86,-2.2066824001e-02
88,-2.0131474822e-02
90,-1.7611314675e-02
92,-1.7860482569e-02
94,-1.8415105474e-02
96,-1.9558944902e-02
98,-1.7120908213e-02
100,-1.7596431408e-02
